Linux Kernel                          total |       text       data        bss
net/dns_resolver/built-in.a            4782 |       4566        208          8
net/8021q/built-in.a                   4502 |       4396        106          0
net/ethernet/built-in.a                3204 |       3092        112          0
--------------------------------------------------------------------------------
sum                                 2228441 |    2065005     146923      16513
delta                                     0 |          0          0          0


kernel                                total |       text       data        bss
--------------------------------------------------------------------------------
kernel/built-in.a                   2124358 |    1672240     351195     100923
--------------------------------------------------------------------------------
kernel/*.o                           484777 |     451596      24561       8620
kernel/printk/built-in.a             310024 |      33655     207393      68976
kernel/trace/built-in.a              298110 |     249082      38895      10133
kernel/sched/built-in.a              291126 |     263510      21660       5956
kernel/time/built-in.a               148203 |     128266      16433       3504
kernel/events/built-in.a             127437 |     124023       2898        516
kernel/cgroup/built-in.a             115870 |      98158      15923       1789
kernel/rcu/built-in.a                102109 |      91138      10895         76
kernel/irq/built-in.a                 76134 |      74584       1478         72
kernel/bpf/built-in.a                 39625 |      32938       6635         52
kernel/module/built-in.a              37872 |      34511       2233       1128
kernel/locking/built-in.a             34803 |      33766       1033          4
kernel/futex/built-in.a               22292 |      22231         53          8
kernel/power/built-in.a               19473 |      18464        925         84
kernel/dma/built-in.a                 16503 |      16318        180          5
--------------------------------------------------------------------------------
sum                                 2124358 |    1672240     351195     100923
delta                                     0 |          0          0          0


lib                                   total |       text       data        bss
--------------------------------------------------------------------------------
lib/built-in.a                       878085 |     838686       4251      35148
--------------------------------------------------------------------------------
lib/zstd/built-in.a                  535729 |     535589        136          4
lib/*.o                              422289 |     380542       8739      33008
lib/crypto/built-in.a                 51641 |      51400        217         24
lib/zlib_deflate/built-in.a           20037 |      17673         84       2280
lib/lz4/built-in.a                    14231 |      14199         32          0
lib/zlib_inflate/built-in.a           12629 |      12601         28          0
lib/xz/built-in.a                     11628 |      11576         52          0
lib/fonts/built-in.a                   6786 |       6774         12          0
lib/lzo/built-in.a                     5312 |       5300         12          0
lib/math/built-in.a                    4178 |       4110         68          0
--------------------------------------------------------------------------------
sum                                 1084460 |    1039764       9380      35316
delta                               -206375 |    -201078      -5129       -168


block                                 total |       text       data        bss
--------------------------------------------------------------------------------
block/built-in.a                     288799 |     272493      14402       1904
--------------------------------------------------------------------------------
block/*.o                            275550 |     259436      14214       1900
block/partitions/built-in.a           13249 |      13057        188          4
--------------------------------------------------------------------------------
sum                                  288799 |     272493      14402       1904
delta                                     0 |          0          0          0


arch/arm                              total |       text       data        bss
--------------------------------------------------------------------------------
arch/arm/built-in.a                  222688 |     193940      27923        825
--------------------------------------------------------------------------------
arch/arm/mach-omap2/built-in.a       239947 |     148449      88285       3213
arch/arm/kernel/built-in.a           112212 |      99482      12118        612
arch/arm/mm/built-in.a                71431 |      60648      10587        196
arch/arm/vfp/built-in.a               23752 |      22743        997         12
arch/arm/probes/built-in.a            11113 |      10987        121          5
arch/arm/vdso/built-in.a               4096 |          0       4096          0
arch/arm/common/built-in.a               84 |         80          4          0
--------------------------------------------------------------------------------
sum                                  462635 |     342389     116208       4038
delta                               -239947 |    -148449     -88285      -3213


security                              total |       text       data        bss
--------------------------------------------------------------------------------
security/built-in.a                   83476 |      80195       3209         72
--------------------------------------------------------------------------------
security/keys/built-in.a              42652 |      41547       1069         36
security/*.o                          39144 |      37028       2096         20
security/integrity/built-in.a          1680 |       1620         44         16
--------------------------------------------------------------------------------
sum                                   83476 |      80195       3209         72
delta                                     0 |          0          0          0


crypto                                total |       text       data        bss
--------------------------------------------------------------------------------
crypto/built-in.a                     83465 |      76297       7137         31
--------------------------------------------------------------------------------
crypto/*.o                           271544 |     222148      39504       9892
crypto/asymmetric_keys/built-in.a      23304 |      22982        305         17
--------------------------------------------------------------------------------
sum                                  294848 |     245130      39809       9909
delta                               -211383 |    -168833     -32672      -9878


